-Baa	time of. Occurs in yaay-baa (sun-baa) meaning ‘summer’ and dhandarr-aa (frost-aa) meaning ‘winter’.	place of. Occurs in walaay-baa (campplace of) meaning ‘a person’s country or home place’. ♦ Gayaay-baa-ga ngiyani yanaa-waa-nha.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiil1	wilga (Ge.jera parviflora). A small tree with bell-shaped white flowers and aromatic leaves. The leaves were used as medicine.	sacred tree. Wilga leaves are used in burial ceremonies, see yilbin.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiinbaay	yamstick. The common word for yamstick is ganay.	ceremonial boomerang. Long and narrow, pointed at both ends with engraved designs.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiinbaay	yamstick. The common word for yamstick is ganay.	ceremonial boomerang. Long and narrow, pointed at both ends with engraved designs.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiinbaay	yamstick. The common word for yamstick is ganay.	ceremonial boomerang. Long and narrow, pointed at both ends with engraved designs.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiirra-y	know. ♦ Miimii, yaama-nda dhiirra-y-la-nha gawubarray?	remember. ♦ Yaama-nda dhiirra-y-la-nha nhama dhayn?	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhilaagaa	grandfather (father’s father). Langloh-Parker said 'an elderly man of the same totem as person speaking to or of him’.	great-uncle (mother’s mother’s brother).	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhilaagaa	grandfather (father’s father). Langloh-Parker said 'an elderly man of the same totem as person speaking to or of him’.	great-uncle (mother’s mother’s brother).	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhilaagaa	grandfather (father’s father). Langloh-Parker said 'an elderly man of the same totem as person speaking to or of him’.	great-uncle (mother’s mother’s brother).	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhilaagaa	grandfather (father’s father). Langloh-Parker said 'an elderly man of the same totem as person speaking to or of him’.	senior man (respected elder).	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhilaagaa	grandfather (father’s father). Langloh-Parker said 'an elderly man of the same totem as person speaking to or of him’.	senior man (respected elder).	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhilaagaa	grandfather (father’s father). Langloh-Parker said 'an elderly man of the same totem as person speaking to or of him’.	senior man (respected elder).	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhilay-rri	push away	throw out	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhina (yr,yy,gr) noun	foot	footprint, tracks	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhina (yr,yy,gr) noun	foot	footprint, tracks	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhina (yr,yy,gr) noun	foot	footprint, tracks	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhina (yr,yy,gr) noun	foot	toe 	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhinggaa	meat. ♦ Yilama-la nhama dhinggaa! 	meat (totem). ♦ Minya nginda dhinggaa?	Yuwaalayaay/Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
dhinggal	seed.	foetus.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhinggal	seed.	foetus.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhinggal	seed.	foetus.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiriya 	old man.	first finger. Pointer finger.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiriya 	old man.	first finger. Pointer finger.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiriya 	old man.	first finger. Pointer finger.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiriya 	old man.	old.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiriya 	old man.	old.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiriya 	old man.	old.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiriya 	old man.	grey.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiriya 	old man.	grey.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiriya 	old man.	grey.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhirranba-y	shake	shiver	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhirranba-y	shake	wag	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhirranba-y	shake	rattle	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhirridhirri	willy wagtail (Rhipidura leucophrys)	troublemaker 	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhirridhirri	willy wagtail (Rhipidura leucophrys)	nosey person 	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiyaagarra-li 	prepare a bed 	spread 	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiyaagarri 	blanket.	bedroll.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiyaagarri 	blanket.	bedroll.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhiyaagarri 	blanket.	bedroll.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhu-rrl	spear, stab	sting	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhu-rrl	spear, stab	sting	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhu-rrl	spear, stab	sting	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhu-rrl	spear, stab	poke (with pointed object)	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhu-rrl	spear, stab	poke (with pointed object)	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhu-rrl	spear, stab	tap	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhu-rrl	spear, stab	have sex, make love	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhu-rrl	spear, stab	have sex, make love	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhu-rrl	spear, stab	write	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhu-rrl	spear, stab	carve	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhubaay	old woman. Respectful term for an older woman.	midwife, nurse.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhubaay	old woman. Respectful term for an older woman.	midwife, nurse.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhubaay	old woman. Respectful term for an older woman.	midwife, nurse.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhubaay	old woman. Respectful term for an older woman.	wife.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhubaay	old woman. Respectful term for an older woman.	wife.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhubaay	old woman. Respectful term for an older woman.	wife.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuli 	bent over.	arched, bowed.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuli 	bent over.	arched, bowed.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuli 	bent over.	arched, bowed.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
Related to dhuli-y (bend down, lean over), dhuli-y	bend down, stoop	lean over	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhulu 	tree.	stick.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhulu 	tree.	stick.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhulu 	tree.	stick.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhulu 	tree.	message stick. Bucknell described one message stick as 'about seven inches long, and three quarters of an inch wide at the bottom, tapering to about half an inch at the top, it is flat, with the sides slightly rounded off, being about one third of an inch thick down the centre, and has markings on both sides of it’. See also: maang.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhulu 	tree.	message stick. Bucknell described one message stick as 'about seven inches long, and three quarters of an inch wide at the bottom, tapering to about half an inch at the top, it is flat, with the sides slightly rounded off, being about one third of an inch thick down the centre, and has markings on both sides of it’. See also: maang.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhulu 	tree.	message stick. Bucknell described one message stick as 'about seven inches long, and three quarters of an inch wide at the bottom, tapering to about half an inch at the top, it is flat, with the sides slightly rounded off, being about one third of an inch thick down the centre, and has markings on both sides of it’. See also: maang.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuma-ll 	take out. ♦ Giirr nhama bindiyaa dhuma-y nhama ngay dhina-ga. 	open. This verb can also be used to mean 'open’, e.g. open a door.	Gamilaraay/Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
dhuma-ll 	take out. ♦ Giirr nhama bindiyaa dhuma-y nhama ngay dhina-ga. 	open. This verb can also be used to mean 'open’, e.g. open a door.	Gamilaraay/Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
dhuma-ll 	take out. ♦ Giirr nhama bindiyaa dhuma-y nhama ngay dhina-ga. 	open. This verb can also be used to mean 'open’, e.g. open a door.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhun 	penis.	tail.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhun 	penis.	tail.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhun 	penis.	tail.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
Jacky Winter (bird) (Microeca leucophaea). dhuningarraay	old. ♦ Dhuningaraay-u dhayn-du gaba gaay guwaa-lda-nhi. 	old person. One source for this meaning.	Yuwaalayaay/Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
Jacky Winter (bird) (Microeca leucophaea). dhuningarraay	old. ♦ Dhuningaraay-u dhayn-du gaba gaay guwaa-lda-nhi. 	old person. One source for this meaning.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
Jacky Winter (bird) (Microeca leucophaea). dhuningarraay	old. ♦ Dhuningaraay-u dhayn-du gaba gaay guwaa-lda-nhi. 	old person. One source for this meaning.	Yuwaalayaay/Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
dhurra-li2	come	rise (sun/moon)	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurra-li2	come	rise (sun/moon)	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurra-li2	come	rise (sun/moon)	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurra-li2	come	grow	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurrin1	raw. Of meat.	green (unripe).	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurrin1	raw. Of meat.	green (unripe).	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurrin1	raw. Of meat.	green (unripe).	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurrubuu	starling.	unknown bird. Ted Fields said it is one of the birds that guides you when you are lost, saying dhurrubuu (follow me).	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurrubuu	starling.	unknown bird. Ted Fields said it is one of the birds that guides you when you are lost, saying dhurrubuu (follow me).	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurrubuu	starling.	unknown bird. Ted Fields said it is one of the birds that guides you when you are lost, saying dhurrubuu (follow me).	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurrun	fur, wool.	hair. This refers to animal hair and people’s body hair.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurrun	fur, wool.	hair. This refers to animal hair and people’s body hair.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurrun	fur, wool.	hair. This refers to animal hair and people’s body hair.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhurrun.gal	hairy caterpillar (Ochrogaster lunifei)	furry tribe 	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuruyaal 	right-handed.	right (not left).	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuruyaal 	right-handed.	right (not left).	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuruyaal 	right-handed.	right (not left).	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuu	smoke	fire 	Yuwaalaraay/Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
-DHuul	little, small	one	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
-DHuul	little, small	one	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuuraay 	flame.	light.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuuraay 	flame.	light.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuuraay 	flame.	light.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuuyaal	right-handed. Ian Sim said 'right hand side’.	right (not left).	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuuyaal	right-handed. Ian Sim said 'right hand side’.	right (not left).	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuuyaal	right-handed. Ian Sim said 'right hand side’.	right (not left).	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuuyaay	flame.	light.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuuyaay	flame.	light.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuuyaay	flame.	light.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuuyaay	flame.	firestick.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuuyaay	flame.	firestick.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuuyaay	flame.	firestick.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuwi	soul, spirit (human)	heart wood 	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuwi	soul, spirit (human)	inside 	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
dhuwima-li	remove, take out	take off (clothes) 	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
djulu 	dirt (debris). Fine debris left on the ground after heavy rain.	sawdust.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
djulu 	dirt (debris). Fine debris left on the ground after heavy rain.	sawdust.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
djulu 	dirt (debris). Fine debris left on the ground after heavy rain.	sawdust.	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
-Ga	in, at, on. Indicates the place where something is; also called the locative case suffix. ♦ Birralii garungga-nhi gaawaa-ga. 	to (dative). Occasionally used to mean ‘giving to’; usually the -gu (owner suffix) is used. The locative/dative suffix is attached to nouns and adjectives. Variant forms are -ga, -da, -a, -eja, -dha, -ya. See Learner’s Guide.	Yuwaalayaay/Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
-Ga	in, at, on. Indicates the place where something is; also called the locative case suffix. ♦ Birralii garungga-nhi gaawaa-ga. 	to (dative). Occasionally used to mean ‘giving to’; usually the -gu (owner suffix) is used. The locative/dative suffix is attached to nouns and adjectives. Variant forms are -ga, -da, -a, -eja, -dha, -ya. See Learner’s Guide.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
-Ga	in, at, on. Indicates the place where something is; also called the locative case suffix. ♦ Birralii garungga-nhi gaawaa-ga. 	to (dative). Occasionally used to mean ‘giving to’; usually the -gu (owner suffix) is used. The locative/dative suffix is attached to nouns and adjectives. Variant forms are -ga, -da, -a, -eja, -dha, -ya. See Learner’s Guide.	Yuwaalayaay/Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	cognates
gaa-gi	take	bring, fetch	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gaa-gi	take	bring, fetch	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gaa-gi	take	bring, fetch	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gaa-gi	take	carry	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gaa-gi	take	carry	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gaa-gi	take	wear	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gaa-gi	take	own, have	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gaa-gi	take	own, have	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gaa-gi	take	own, have	Gamilaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gaadhii	sister. This is a rare word, the common word is baawaa.	grandmother (mother’s mother). This is a rare word, the common word is baagii. The two definitions of gaadhii are probably due to the fact that a particular woman's grandmother (on their mother’s side) and also that woman’s sister are both classified as belonging to the same social section. So this word may actually mean, for a woman, ’another woman in my social section’. Due to the respect given to older people, it is unlikely that someone would refer to an older person using this term.	Yuwaalaraay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
gaadhii	sister. This is a rare word, the common word is baawaa.	grandmother (mother’s mother). This is a rare word, the common word is baagii. The two definitions of gaadhii are probably due to the fact that a particular woman's grandmother (on their mother’s side) and also that woman’s sister are both classified as belonging to the same social section. So this word may actually mean, for a woman, ’another woman in my social section’. Due to the respect given to older people, it is unlikely that someone would refer to an older person using this term.	Yuwaalayaay	A.Ash, J.Giacon, A.Lissarrague. Gamilaraay/Yuwaalaraay/Yuwaalayaay to English Dictionary. 2003	-
