entry	main	second	language	dictionary	homonym	label
hayt'aysiy	Ayudar a dar puntapiés o patadas.	NEOL. Patear la pelota juntamente que otros del mismo equipo, en el juego del fútbol.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hayu	Adversario, enemigo, contrario, contendor. 	Piedra para afilar o mollejón. (J.L.O.M.)	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
haywachiq	y s. Que hace o-frecer algo.	Que manda alcanzar algo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
haywachiy	Hacer o mandar o-frecer algo.	Hacer alcanzar alguna cosa. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
haywakuy	Alcanzar alguna cosa a otra.	Ofrendar los pagos a los awkis o apus.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
haywakuy	Alcanzar alguna cosa a otra.	Extender los brazos.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
haywana	Utensilio en que se entrega la ofrenda.	Cosa determinada para la ofrenda y la que se va alcanzando.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | adjetivo
haywanakuy	Entregarse, ofrecerse mutuamente alguna cosa u ofrendas.	Intercambiar presentes. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
haywariy	Alcanzar, ofrecer, brindar algo con cierto afecto.	Extender o alargar la mano.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hayway	Alcanzar o pasar alguna cosa a otra persona.	Ofrecer, brindar, obsequiar alguna dádiva. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
haywaykachay	Bracear, extender los brazos repetidas veces.	Accionar los brazos para alcanzar algo. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
haywaykuy	Introducir la mano en el interior de algún objeto.	Entregar, dejar, alcanzar algo a otra persona, de pasada y apresuradamente.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hich'ana	Sitio donde se echa o se deposita algún líquido, grano, harina, desperdicio, etc.	Utensilio con el que se echa o se derrama algún líquido, grano o harina.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | adjetivo
hich'ana	Sitio donde se echa o se deposita algún líquido, grano, harina, desperdicio, etc.	Algo susceptible de ser echado o derramado.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | adjetivo
hich'arqokuy	Echar o vaciar un contenido para sí, devolviendo el recipiente.	Derramarse algún contenido por sí, o poralgún agente desconocido.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hich'asqa	Derramado, vertido, trasegado.	Fundido y vaciado	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hich'ay	Verter, echar, trasegar, derramar algo.	Vaciar el contenido de un recipiente, si-NON: talliy.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hich'ay	Verter, echar, trasegar, derramar algo.	Fundir y vaciar metales, cera, sebo, parafina, etc.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hich'aykapuy	Devolver derramando algún contenido al mismo recipiente o sitio de donde provino.	Derramar, verter, echar, etc. algún contenido en otro cuidadosamente.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hich'arqokuy	Echar o vaciar un contenido para sí, devolviendo el recipiente.	Derramarse algún contenido por sí, o por algún agente desconocido.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hich'asqa	Derramado, vertido, trasegado.	Fundido y vaciado en molde.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hich'ay	Verter, echar, trasegar, derramar algo.	Vaciar el contenido de un recipiente, si-NON: talliy.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hich'ay	Verter, echar, trasegar, derramar algo.	Fundir y vaciar metales, cera, sebo, parafina, etc.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hich'aykapuy	Devolver derramando algún contenido al mismo recipiente o sitio de donde provino.	Derramar, verter, echar, etc. algún contenido en otro cuidadosamente.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hik'i	Hipo. Movimiento to convulsivo del diafragma que produce una respiración interrumpida y violenta que causa algún ruido.	Sollozo con hipo. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Fisiología
hik'ipakuy	Tener hipo persistente.	Tener quejidos una persona o un niño que acabó de llorar.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | Fisiología
hilli	Caldo.	Jugo o zumo de algún fruto o savia de las plantas. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | alimentación
hilliyuq	Jugoso.	Que contiene caldo. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hillp'una	Embudo.	Cualquier líquido destinado a ser trasegado o envasado en recipientes de boca estrecha. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | adjetivo
hillp'usqa	Líquido trasegado, envasado en recipientes de boca estrecha. 	La chicha puesta a fermentar.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo | Bolivia
hillp'uy	Envasar, trasegar, rellenar líquidos en recipientes de boca estrecha.	Hacer ingerir a un enfermo medicamentos líquidos por la boca. SI-NÓN: humiyay, humiy.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | Medicina | Bolivia
hillp'uy	Envasar, trasegar, rellenar líquidos en recipientes de boca estrecha.	Adobar la chicha para su fermentación.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | Medicina | Bolivia
hillp'uykuy	Hacer ingerir algún líquido con sumo cuidado.	Trasegar.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hillu	Manjar dulce, golosina.	Goloso, ávido de bocados dulces.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | alimentación | adjetivo | Bolivia
hillu	Manjar dulce, golosina.	Pe. Aya: Arrebatador de la comida ajena.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | alimentación | adjetivo | Bolivia
hillu	Manjar dulce, golosina.	hillu qelpa (glotón).	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | alimentación | adjetivo | Bolivia
hinayachiy	Modificar la cosa de un estado a otro.	Cambiar de postura.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hip'i	Establo o redil rústico y provisional para hacer pernoctar las tropas de ganado en campo abierto. 	Residuo de la trilla del grano de quinua, que consiste en ramitas y envolturas florales, que caen como polvillo blanco del envés de las hojas. (o.B. y M.B.)	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Agricultura
hisp'ana	Urinario. Bacín.	Organo urinario.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Anatomía
hisp'ay	Orina. 	Orinar, mear, miccionar, expeler la orina.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Fisiología |  verbo
hisp'aykuy	Orinar sobre alguna cosa intencionalmente.	Contaminar o mojar algo con orina.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hoqarichikuq	y s. Persona que permite o se hace levantar por otra.	Objeto de poco peso, fácil de levantar.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hoqarichikuy	Hacerse levantar con otra persona, por súplica.	Provocar inconscientemente a que le enrostren o saquen en cara a otra persona por los favores recibidos.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hoqarikuq	y s. Codicioso; que toma para sí las cosas ajenas, sin consentimiento de sus dueños.	Que enrostra, delata, encara o divulga de los servicios y favores que otorga a otra persona.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hoqarikuy	Recoger o levantar algo para sí.	figdo. Hurtar, robar.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hoqarikuy	Recoger o levantar algo para sí.	Enrostrar, encarar, a otra persona por algún servicio prestado. Folk. Ceremonia del hoqarikuy, en la festividad de ¡a Virgen del Carmen de la provincia de Paucartambo, Qos-qo, Perú. Consiste en presentar a un niño o niña ante la Virgen, con la intervención del sacerdote, del que nacen los padrinazgos y compadrazgos.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hoqarinakuy	Agarrarse uno a otro para levantarse hacia arriba, alternando sucesivamente.	Enrostrarse mutuamente por servicios prestados entre ellos.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
hoqariq	y s. Que levanta, eleva, suspende alguna cosa.	NEOL. Herramienta, como la montacarga, la grúa, el cargador frontal, etc., que eleva o suspende cosas pesadas.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hoq'o	Húmedo, mojado.	Fruta jugosa o aguanosa. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hoq'ochachiy	Humedecer.	Permitir que algo se humedezca, 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hoq'ochana	Instrumento con que se puede humedecer.	Que requiere ser humedecido.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | adjetivo
hoq'ochaq	y s. Humectante. Agente acuoso que humedece algo.	Persona que humedece.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hoq'oyllo	Renacuajo. Larvas de batracios (rana, sapo, etc.) en proceso de metamorfosis.	Insulto a personas barrigonas y enanas. Pe.Anc: choqyas, ultu. Arg: hokuyllu. Bol: juqoyllo.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo |  Zoología | familiar
horqokuy	Sacarse algo de sí mismo, como cabello, sangre, canas.	Despojarse uno de sus prendas personales.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
horqokuy	Sacarse algo de sí mismo, como cabello, sangre, canas.	Sacar algo con facilidad y de prisa de uno mismo. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
horqonakuy	Sacarse o extraerse mutuamente de algún lugar o encierro.	figdo. Delatarse mutuamente.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hucha	uyarichiy. s. Juris. NEOL. Denuncia penal.	Declarar o manifestar ante la autoridad un acto ilegal.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
huchallikapuy	NEOL. Caer en delito inconscientemente.	Reincidir en el delito involuntariamente.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo |  Jurisprudencia
huchallikuq	y s. Juris. NEOL. Que comete delito o falta conscientemente.	Delincuente. E-JEM: huchallikuqmi payqa, él es delincuente.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
huchallikuy	NEOL. Delinquir. Cometer un delito.	V. Q'OMALLIKUY.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo |  Jurisprudencia
huchasapa	y s. Juris. NEOL. Persona con muchos delitos.	Pecador, que tiene pecados.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
huch'uy	kay. s. Pequeñez. Tamaño reducido.	Infantil. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	
huch'uy	sonqo. adj.figdo. Cobarde.	Débil de carácter, pusilánime. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	
huch'uyamuy	Empequeñecerse, achicarse, acortarse paulatinamente.	Perder la grandeza o majestad de una persona o cosa.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
huk	Uno. 	un, una, cierto, cierta. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo |  numeración cardinal | adjetivo
hukllaq	y s. Unificador, ar-monizador, asociador.	Unificante de cosas materiales. Se a-plica a sustancias o conposicio-nes adhesivas. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hukllasqa	Unificado, unido.	Asociado, agrupado.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hukmanta	Del uno; desde la unidad; a partir de la unidad.	De nuevo. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adverbio
hukniraq	Diferente, distinto, de otra manera, de diferente modo.	Extraño.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hukpaqkama	De una vez por todas.	Sin demora. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adverbio
huk'i	Rincón.	Angulo interior. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
huk'uchay	Roer el ratón,	figdo. Hurtar en pequeñísimas cantidades.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hullu	(Phithcptora infestas). Hongo que infesta e inutiliza el crecimiento de la papa.	Manco, que tiene un brazo mutilado. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Botánica | adjetivo
humiyay	Trasegar un líquido.	Llenar el recipiente con líquido hasta colmarlo o rebasarlo. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
humiyuna	Vasija de boca estrecha.	NEOL. Botella.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
hunp'iriy	Empezar a sudar o transpirar.	Sudar a chorros y prolongadamente.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | Fisiología
hunt'achiy	Llenar, rellenar, colmar.	Hacer cumplir una disposición. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hunt'aq	y s. Cosa que llena o completa un recipiente.	Persona que cumple una obligación, mandato o compromiso.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hunt'ay	Llenar, colmar, completar.	Cumplir la ley, mandato o compromiso. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
huñi	Asentimiento, anuencia.	Obediencia.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
huñuna	Lugar o sitio en donde se reúnen, juntan o concentran personas, animales o cosas dispersas.	Instrumento destinado a recoger cosas menudas dispersas, por 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | adjetivo | Perú Ayacucho
huñuna	Lugar o sitio en donde se reúnen, juntan o concentran personas, animales o cosas dispersas.	Se dice de personas, animales o cosas dispersos susceptibles de ser reunidos, a-grupados o juntados.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | adjetivo | Perú Ayacucho
huñuna	Lugar o sitio en donde se reúnen, juntan o concentran personas, animales o cosas dispersas.	kuska. Ec: tanda.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | adjetivo | Perú Ayacucho
huñuq	y s. Recolector de cosas diseminadas o dispersas.	Que recolecta, agrupa, asocia personas o cosas. Pe.Aya: kuskaq. Ec: tandak.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hurk'a	Antrcp. Pedido de colaboración para realizar un cargo, fundamentalmente religioso, consistente en comestibles, bebidas, ciriones, banda de músicos, fuegos artificiales, etc. Dicho compromiso lo hacen con meses de anticipación, mediante un presente que el carguyoq entrega a sus amistades solicitando, precisamente, la colaboración. Es una costumbre tradicional que viene desde la época del coloniaje, con cargo de retribución en casos análogos.	Prestación de trabajo al estado, en el régimen inkaico.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Bolivia | Historia
tilizados	para perforar.	Algo susceptible a ser perforado, taladrado, agujereado. Pe.Aya: huskuna.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hut'u	Grano de maíz corroído o descompuesto en parte,	figdo. y fam. Por analogía se hace igual mención a la dentadura descompuesta: hut'u kiro, diente careado. Pe.Aya: hutu.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
hut'ukuy	Descomponerse o corroerse en parte el grano del maíz.	figdo. y fam. Carearse la dentadura.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
hut'uyay	Corroerse o descomponerse en parte los granos del maíz,	figdo. y fam. Carearse la dentadura.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
icha	Quizá o quizás, puede ser, tal vez. Significa duda, no asegurar del dicho ni hecho, permanecer indeciso. 	¡Ojalá! 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adverbio |  interjección
ichi	Paso corto, medio paso, paso menudo; paso gracioso.	V. KHAPA.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo
ichiq	y s. Que camina a pasos menudos.	Que camina con las piernas abiertas.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	adjetivo
ichiy	Dar pasos cortos al caminar.	Caminar con las piernas abiertas. Aplícase, generalmente, a las criaturas que dan los primeros pasos.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
ichiy	Dar pasos cortos al caminar.	Montar o cabalgar.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
ichiy	Dar pasos cortos al caminar.	V. khapay.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
ichiykachay	Dar muchos pasos cortos al caminar.	Caminar amaneradamente o con afectación, demostrando cierta vanidad.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
ichhu	(Stipa ichu). Paja de las punas.	Ecol. Veg. (Stipa sp. Ichhukuna). Gramíneas del pajonal. Biotipo de las gramíneas. Noveno biotipo en Fitogeografía. (F.M.M.)	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Botánica
ichhu	ichhu. s. Ecol. Veg. Pajonal. Campo donde crece la paja. 	V. IRU ICHHU.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	
ichhuna	Hoz, segadera. Instrumento de labranza empleado en la siega de cereales.	Mieses u otras gramíneas en estado de siega.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Agricultura | adjetivo
ichhupay	Repaje de los techos de casas y chozas.	Agregar más paja al barro preparado para la elaboración de adobes.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo
ichhuy	Recoger, cortar la paja; segar la paja.	Cortar cualquier planta gramínea.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | familiar
ichhuy	Recoger, cortar la paja; segar la paja.	Asemejarse a la paja por el mucho adelgazamiento. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | familiar
Ika	(Topón. Posiblemente de wamanika: corregido, enmendado; o del aymara, eqa: medida agraria), lea, departamento de la costa del Perú. Capital del departamento del mismo nombre. Ciudad fundada en 1563 y con 433,897 habitantes en 1981.	Valle importante del Qontisuyu, conquistado por los Inkas Pachakuteq y Mayta Qhapaq.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Geografía | Historia
ilaqay	Separar, antes de servir, de la olla en que se cocina, una porción de la sopa o el caldo. 	Separar o abajar la parte que rebasa de la olla, al tiempo de hervir el caldo o la sopa, sacando a otro depósito. 	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	 verbo | alimentación
Illa	y Mit. Uno de los nombres del dios Wiraqocha en el inkario.	Nombre del inventor del qhipu, en la época del inka Mayta Qhapaq.	Qechua	ACADEMIA MAYOR DE LA LENGUA QUECHUA. DICCIONARIO QUECHUA - ESPAÑOL - QUECHUA. 2005	-	sustantivo | Historia
